isbn,titulo,autor,peso,valor,stock,paginas,editorial,idioma
9789588886316,Cien años de soledad,Gabriel García Márquez,1.200,55000,5,496,Sudamericana,Español
9788497592208,Don Quijote de la Mancha,Miguel de Cervantes,1.100,60000,3,863,Alfaguara,Español
9788437624828,La casa de los espíritus,Isabel Allende,0.950,48000,4,448,Plaza & Janés,Español
9780307474728,The Great Gatsby,F. Scott Fitzgerald,0.800,42000,2,180,Scribner,Inglés
9780451524935,1984,George Orwell,0.750,39000,6,328,Signet Classics,Inglés
9780140449266,The Odyssey,Homer,0.900,45000,2,560,Penguin Classics,Inglés
9780061120084,To Kill a Mockingbird,Harper Lee,0.820,41000,4,336,Harper Perennial,Inglés
9789500756825,Rayuela,Julio Cortázar,1.000,53000,5,736,Alfaguara,Español
9780140449181,The Iliad,Homer,0.880,44000,3,704,Penguin Classics,Inglés
9788420471839,Fahrenheit 451,Ray Bradbury,0.720,37000,7,240,Minotauro,Español
9780307949486,Brave New World,Aldous Huxley,0.760,41000,3,288,Harper Perennial,Inglés
9788420412146,El amor en los tiempos del cólera,Gabriel García Márquez,1.050,52000,5,480,Diana,Español
9789504914849,El túnel,Ernesto Sábato,0.500,28000,6,160,Seix Barral,Español
9788437604943,Crónica de una muerte anunciada,Gabriel García Márquez,0.620,32000,5,128,Sudamericana,Español
9788497930192,Ensayo sobre la ceguera,José Saramago,0.950,46000,3,352,Alfaguara,Español
9788466332126,El principito,Antoine de Saint-Exupéry,0.350,25000,10,96,Salamandra,Español
9780142437230,Moby-Dick,Herman Melville,1.200,48000,2,720,Penguin Classics,Inglés
9788401020463,Los pilares de la tierra,Ken Follett,1.350,65000,4,1040,Plaza & Janés,Español
9789584271840,Del amor y otros demonios,Gabriel García Márquez,0.700,30000,5,192,Sudamericana,Español
9789588886323,La hojarasca,Gabriel García Márquez,0.620,31000,4,176,Sudamericana,Español
